Glacier,Basin,Clays,Feldspar,Calcite,Quartz
GL1,West Coast,0.5511,0.1284,0.0061,0.1177
GL2,West Coast,0.8375,0.0738,0.0006,0.0869
GL3,West Coast,0.8271,0.0884,0.0024,0.0732
GL4,West Coast,NA,NA,NA,NA
GL5,Arthurs Pass,NA,NA,NA,NA
GL6,Arthurs Pass,0.4068,0.1416,0.006,0.4307
GL7,Arthurs Pass,0.7393,0.092,0.0018,0.1545
GL8,Arthurs Pass,0.6395,0.1444,0.0023,0.2001
GL9,Arthurs Pass,0.704,0.0787,0.0145,0.1909
GL10,Wanaka,0.8969,0.0544,0.0002,0.0352
GL11,Wanaka,0.9832,0.0103,0.0004,0.0004
GL12,Wanaka,0.9328,0.0377,0.0003,0.0003
GL13,Haast Pass,0.9562,0.0225,0.0004,0.0203
GL14,Milford Sound,NA,NA,NA,NA
GL15,Milford Sound,0.6238,0.127,0.0014,0.0692
GL16,Mount Cook,0.8629,0.0576,0.017,0.0462
GL17,Mount Cook,0.8824,0.0526,0.0006,0.0476
GL18,Mount Cook,0.9637,0.0144,0.0005,0.0161
GL19,Mount Cook,0.8931,0.0383,0.0087,0.0588
GL20,West Coast,0.9141,0.0331,0.0006,0.0435
GL21,West Coast,0.7459,0.0988,0.0274,0.1256
GL22,Val d'Entrememont,0.9257,0.0296,0.004,0.0366
GL23,Mattertal,0.939,0.0102,0.0116,0.0007
GL24,Mattertal,0.8681,0.0539,0.0007,0.0282
GL25,Mattertal,0.8911,0.0275,0.0116,0.0346
GL26,Mattertal,0.6091,0.1911,0.0007,0.0124
GL27,Val d'Hérens,0.7278,0.219,0.0025,0.0136
GL28,Val d'Hérens,0.1886,0.5771,0.0443,0.1247
GL29,Val d'Hérens,0.8791,0.0489,0.0012,0.0329
GL30,Saastal,0.9521,0.0159,0.0003,0.0313
GL31,Saastal,0.9304,0.0224,0.0004,0.0421
GL32,Ameralik,0.5731,0.202,0.0139,0.1196
GL33,Ameralik,0.4231,0.3932,0.0017,0.1331
GL34,Ameralik,0.2532,0.4827,0.0019,0.1657
GL35,Ameralik,0.4025,0.4032,0.0076,0.1293
GL36,Kobbefjord,0.6832,0.1074,0.0081,0.1192
GL37,Kobbefjord,0.7246,0.0796,0.005,0.1185
GL38,Disko Island,0.2502,0.6161,0.048,0.0153
GL39,Disko Island,NA,0.6721,0.089,0.0247
GL40,Disko Island,0.2783,0.5567,0.0536,0.049
GL41,Disko Island,0.1369,0.7643,0.0092,0.0367
GL42,Bezengi,0.3975,0.1206,0.0078,0.4397
GL43,Bezengi,0.7758,0.1333,0.0009,0.0779
