patch,Mountain range,date [DD.MM.YYYY],time [HH:MM],water_temp [C],ph [pH],conductivity [uS cm -1],turb [NTU],gl_name,lat_sn [DD],lon_sn [DD],ele_sn [m],lat_sp [DD],lon_sp [DD],ele_sp [m],max_el [m],mean_el [m],sn_sp_dist [m],sn_sp_ele [m],abl_asp [°],gl_sa [km2],gl_cov [%],gl_a [km2],chla [ug g-1],eps [ugC g-1],ag [nmol g-1 h-1],ap [nmol g-1 h-1],bg [nmol g-1 h-1],lap [nmol g-1 h-1],nag [nmol g-1 h-1],bp [ngC g-1 h-1],wba [cells ml-1],sba [cells g-1],respiration [mg 02 g-1 h-1],doc [ug l-1],i1_na [ug l-1],i2_k [ug l-1],i3_mg [ug l-1],i4_ca [ug l-1],i5_cl [ug l-1],i6_so4 [ug l-1],n1_tn [ug l-1],n2_tp [ug l-1],n3_srp [ug l-1],n4_nh4 [ug l-1],n5_no3 [ug l-1],n6_no2 [ug l-1]
GL1_UP_1,Southern Alps,22.01.19,10:00,2.4,7.81,60.1,363,Franz Josef,-43.4528,170.1782,606,-43.45,170.1753,470,2901,2077,397,136,305,35.51,0.7,50.53,6.20E-06,0,0.013893716,0.212921469,0.005040966,1.08278125,0,20.488005,90048.552,5582103.22,0.000130725,143.6666667,NA,NA,NA,NA,NA,NA,NA,NA,13.6,32.1,44.2,NA
GL1_UP_2,Southern Alps,22.01.19,10:00,2.4,7.81,60.1,363,Franz Josef,-43.4528,170.1782,606,-43.45,170.1753,470,2901,2077,397,136,305,35.51,0.7,50.53,3.76E-05,0.205732,0.002292866,0.118450284,0.002649231,0.933340279,0,7.39356,NA,2385219.31,0.000304898,143.6666667,NA,NA,NA,NA,NA,NA,NA,NA,13.6,32.1,44.2,NA
GL1_UP_3,Southern Alps,22.01.19,10:00,2.4,7.81,60.1,363,Franz Josef,-43.4528,170.1782,606,-43.45,170.1753,470,2901,2077,397,136,305,35.51,0.7,50.53,0.000275467,0,0.001474181,0.106997484,0.007916985,0.614264541,0.01134831,6.569828,NA,1469103.36,0.00025282,143.6666667,NA,NA,NA,NA,NA,NA,NA,NA,13.6,32.1,44.2,NA
GL1_DN_1,Southern Alps,22.01.19,14:26,3.1,7.71,49.4,347,Franz Josef,-43.4528,170.1782,606,-43.4274,170.1734,248,2901,2077,2907,358,305,35.51,0.61,58.17,8.47E-05,0,0.007477315,0.095905234,0.016368716,0.917579852,0,65.753963,72695.47267,3840447.42,0.000146132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GL1_DN_2,Southern Alps,22.01.19,14:26,3.1,7.71,49.4,347,Franz Josef,-43.4528,170.1782,606,-43.4274,170.1734,248,2901,2077,2907,358,305,35.51,0.61,58.17,2.23E-05,0.977248,0.003576783,0.22405735,0.012694462,1.08317894,0,7.9570075,NA,1658472.02,0.000542656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GL1_DN_3,Southern Alps,22.01.19,14:26,3.1,7.71,49.4,347,Franz Josef,-43.4528,170.1782,606,-43.4274,170.1734,248,2901,2077,2907,358,305,35.51,0.61,58.17,0.0001969,0,0.000978696,0,0,0,0,0.674839,NA,1324035.94,6.89E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GL2_UP_1,Southern Alps,25.01.19,08:37,0,9.11,64,227,Victoria,-43.4976,170.1397,1156,-43.4976,170.139,1145,2581,1952,56,11,270,3.93,0.48,8.16,0,0,0.006171672,0.016839823,0,0.879466216,0,NA,45343.76367,2392754.61,2.68E-05,128.2333333,NA,NA,NA,NA,NA,NA,NA,NA,8.2,34.5,51.9,NA
GL2_UP_2,Southern Alps,25.01.19,08:37,0,9.11,64,227,Victoria,-43.4976,170.1397,1156,-43.4976,170.139,1145,2581,1952,56,11,270,3.93,0.48,8.16,0,0,0.000505935,0.042248303,0.004442758,1.414806721,0.003067026,0.3488775,NA,1145862.46,6.64E-05,128.2333333,NA,NA,NA,NA,NA,NA,NA,NA,8.2,34.5,51.9,NA
GL2_UP_3,Southern Alps,25.01.19,08:37,0,9.11,64,227,Victoria,-43.4976,170.1397,1156,-43.4976,170.139,1145,2581,1952,56,11,270,3.93,0.48,8.16,0,0,0.000916291,0.032583113,0.002146476,1.741233809,0.00373962,NA,NA,531115.009,5.59E-05,128.2333333,NA,NA,NA,NA,NA,NA,NA,NA,8.2,34.5,51.9,NA
GL2_DN_1,Southern Alps,25.01.19,11:59,1.2,8.32,78.8,164.3,Victoria,-43.4976,170.1397,1156,-43.4978,170.1291,1093,2581,1952,855,63,270,4.08,0.41,9.99,0,0,0.002605666,0.002085682,0,1.171216959,0,NA,37337.52733,732061.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GL2_DN_2,Southern Alps,25.01.19,11:59,1.2,8.32,78.8,164.3,Victoria,-43.4976,170.1397,1156,-43.4978,170.1291,1093,2581,1952,855,63,270,4.08,0.41,9.99,5.57E-06,0,0.006296183,0.057816741,0.001030671,0.05511674,0.011335691,3.49999,NA,725824.849,5.01E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GL2_DN_3,Southern Alps,25.01.19,11:59,1.2,8.32,78.8,164.3,Victoria,-43.4976,170.1397,1156,-43.4978,170.1291,1093,2581,1952,855,63,270,4.08,0.41,9.99,0,0,0.00216064,0,0,2.356448776,0.012270867,2.280564,NA,637347.754,2.17E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
