"","Sample","Mountain range","latitude","longitude","elevation","gl_coverage","gl_area","gl_dist","turbidity","conductivity","chla","water_temp","LAP","NAG","BG","AG","AP","cells","DOC","DIN","SRP","BP","respiration","EPS","Glacier","gl_index","Clays","Quartz","Calcite","Feldspar","NP","CP","CN","AP_cell","rel_temp","TER_cn","TER_cp","CUE","BGE","CUE_zscore","CUE_outlier","TERcn_zscore","TERcn_outlier","TERcp_zscore","TERcp_outlier","BGE_zscore","BGE_outlier"
"1","GL100_DN","European Alps",44.8863,6.2941,2234,0.25,0.219135529916671,5.81859814908478,2.76316950032329,5.43022243742798,-5.20310519154603,0.810930216216329,0.729076125936217,-6.33621261414109,-3.34622878859163,-4.60131021194902,-0.491941002130756,7051930.51333333,NA,5.24457370403809,0.654925967739747,2.36790721328759,-10.6825630604321,2.74529933333333,"GL100",-5.68665224391008,-0.119910296672558,-2.75750308482174,-5.27851473925186,-3.07585831803328,5.39493511245245,NA,NA,-16.2566535199675,1.16060834816489,4.80763461653428,5.1899461006397,-1.82370268118365,-1.24074293125963,-0.149242333725246,"No",-0.203425813055142,"No",-0.105242853278511,"No",0.186681670033932,"No"
"2","GL100_UP","European Alps",44.8843,6.2934,2301,0.27,0.20294084399669,4.62005879848184,2.40243042796376,5.4731106569212,-6.19517874339782,0.22314355131421,0.660138247192326,-6.25877160708763,-3.58635398239811,-5.06130504608468,-1.28546217930708,10682771.4333333,4.61862920567225,5.2008423451642,0.710495818894558,2.18222749599697,-9.80379607555579,0.558653,"GL100",-4.51849477410331,-0.119910296672558,-2.75750308482174,-5.27851473925186,-3.07585831803328,5.29386246668144,4.73213258460599,-0.424364375318823,-17.4545047276177,1.31417704143191,4.80550591438192,5.90197712658118,-2.17606494097412,-2.11803670265721,-0.61744641673371,"No",-0.208967895142534,"No",-0.0799704545642616,"No",-0.615477718744272,"No"
"3","GL101_DN","European Alps",44.9148,6.2582,2008,0.13,0.227135572583747,7.54934597262768,2.4466854369678,4.78080275463125,-3.59393237052409,1.69561560867515,0.225324832589513,-4.57418276070164,-3.0394031956813,-4.40236774612664,-0.148728776943387,4891615.85333333,NA,5.22824355391179,0.710495818894558,4.13671049758539,-12.6272099230326,0.00859666666666667,"GL101",-7.2991249043066,-0.66087362000965,-1.16171184561143,-4.99083266680008,-1.81431187369857,5.32160185703559,NA,NA,-15.5500196789094,0.676598198486275,4.81789283465361,4.38800190705157,-1.42281605823617,NA,0.62824466893375,"No",-0.176552476460992,"No",-0.118669765551141,"No",3.36850431220032,"Yes"
"4","GL101_UP","European Alps",44.8985,6.2624,2440,0.3,-0.180323554131282,4.06902675423781,2.6775909936175,5.29229929422247,-8.0536856159142,-0.798507696217772,-1.79474828428926,-4.25488934750783,-4.78622609405341,-7.07471109574648,-3.02993273886542,2209131.27666667,4.31910902142172,5.51441616173554,1.76044078597063,0.920356223220265,-11.310678739369,0.524006333333333,"GL101",-4.1635366181334,-0.66087362000965,-1.16171184561143,-4.99083266680008,-1.81431187369857,4.54774863266966,3.36637000368683,-0.973476178406204,-17.6328783146904,1.43784040006053,4.77015250530451,5.23539293467107,-1.82239945859054,-1.84718483784164,-0.147186360237267,"No",-0.299306369341022,"No",-0.104110959086543,"No",-0.437793836621587,"No"
"5","GL102_DN","European Alps",44.9387,6.2986,1880,0.21,0.675492245321225,7.38554104866993,NA,4.63569939102291,-3.06422015828251,1.37371557891303,1.47751832023729,-2.83521979296256,-1.25964282137814,-2.86924482552623,0.874415135983076,16247420.8,NA,5.3834164996976,0.744315467134345,3.56414277437823,-9.7805356761604,1.43726866666667,"GL102",-6.95331708735656,-0.274963300044006,-2.26866687479058,-4.68855179492714,-2.09354046605934,5.44398282830593,NA,NA,-15.7261948448981,0.902085804594172,4.83348045349979,4.63264069975551,-1.5583846991791,-1.05906237591091,0.329794281165689,"No",-0.13518640431506,"No",-0.115643920794435,"No",0.460293977888867,"No"
"6","GL102_UP","European Alps",44.9358,6.3183,2436,0.31,0.670390193437329,3.19867311755068,NA,5.10351828824297,-6.77593288753524,-2.99573227355399,0.870135370551146,-2.98744873697153,-3.70521611701013,-4.63545999201448,-0.167324744045688,4136406.57,5.53558076202293,5.68267800032478,2.0949457282158,2.23665800824809,-12.3600400088276,2.14577466666667,"GL102",-2.89909947772342,-0.274963300044006,-2.26866687479058,-4.68855179492714,-2.09354046605934,4.38123561552605,4.36068355140631,0.0468555899450194,-15.4013039704567,1.49994371772438,4.7871897760256,5.00380738593232,-1.71703133963207,-0.347361366567786,0.0282309228474183,"No",-0.256169679696213,"No",-0.109377516675203,"No",2.16893310093236,"No"
"7","GL103_DN","Himalayas",28.22356,85.56226,3989,0.29,1.70928324740382,7.35787502763073,2.12517191039838,4.37952350445576,-2.85842329084919,1.73165554515835,1.89823173828399,-1.08879622425402,-0.296196491123793,-2.16822466619667,2.00892745583101,1739775.743,NA,5.62580291500614,-0.122167633974208,3.49902556288084,-8.75924458296799,NA,"GL103",-6.44788328451546,-0.964693471102323,-0.981763022171817,-5.9522438339547,-1.39735530847932,6.58522931534206,NA,NA,-12.3603351660082,0.646716540478643,4.83891332404646,3.99328062332916,-1.23007247076308,-1.8936583767713,1.12865291487722,"No",-0.120616572356848,"No",-0.122230256359862,"No",-0.471799986886315,"No"
"8","GL103_UP","Himalayas",28.2298,85.56236,4062,0.34,1.70928324740382,6.06958232637193,2.08567209143047,4.45898767581001,-2.74263621110399,-1.38629436111989,0.835033304755369,-0.145052593219191,0.523813294308495,-1.51282731641637,0.936786631089396,1345140.525,4.87179459391384,5.61940399219221,-0.378336440719912,2.96396176855003,-9.11232929741952,NA,"GL103",-5.20357225510341,-0.964693471102323,-0.981763022171817,-5.9522438339547,-1.39735530847932,6.85063833179617,6.14360495649878,-0.534612504862309,-13.1752824889028,1.4688693395518,4.97704382722713,4.42276831001384,-1.54036690335995,-2.04752243869251,0.367167635083238,"No",0.277705016945861,"No",-0.118283534407359,"No",-0.573747207985679,"No"
"9","GL104_DN","Himalayas",28.23195,85.57248,4197,0.67,1.3800247481063,6.8495963648086,3.90150326649296,3.86702563949741,-3.89497388778485,1.23837423104327,2.36070608966079,0.111682013024155,-0.34856133737452,-0.569249641674423,1.31015203801267,5056846.414,NA,5.06975289857934,-0.110931560707282,4.40561900807669,-10.4365076618119,NA,"GL104",-6.12102885046343,-0.318966362491547,-1.61369696935448,-5.33913936106829,-2.65569497076828,6.01096824755541,NA,NA,-14.1256754031324,0.977791912810105,4.76797617170078,5.06960739956063,-1.73776979470091,-0.346418558074861,-0.00777082178932984,"No",-0.304763883979462,"No",-0.108003000765024,"No",2.172098274506,"No"
"10","GL104_UP","Himalayas",28.23401,85.57678,4369,0.68,1.3800247481063,4.63957161270542,3.87586159184213,3.91202300542815,-5.08686595602423,-2.99573227355399,1.59349788246083,-1.01034009018139,-0.847306988789979,-2.48483798414554,0.248508380972963,2070388.32366667,4.77818467693124,5.00625906569528,0.685618914139154,3.77197298406222,-9.68417800830969,NA,"GL104",-3.95989364112851,-0.318966362491547,-1.61369696935448,-5.33913936106829,-2.65569497076828,5.12200128425566,4.93956720775211,-0.0883550620333185,-14.2945937764384,1.49994371772438,4.80466036030548,5.37724146531096,-1.91544652137954,-0.988776129251713,-0.287447150498405,"No",-0.21116602589327,"No",-0.100228343651558,"No",0.580217310220324,"No"
